"","creative_properties","n"
"1","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-1P-Ad1049",2
"2","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-1P-Ad1050",2
"3","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-1P-Ad1051",2
"4","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-ZIPs-Ad1050",2
"5","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-ZIPs-Ad1051",2
"6","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-1P-Ad1049",4
"7","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-1P-Ad1050",4
"8","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-1P-Ad1051",4
"9","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-ZIPs-Ad1050",2
"10","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-ZIPs-Ad1051",2
"11","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-1P-Ad1049",4
"12","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-1P-Ad1050",4
"13","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-1P-Ad1051",4
"14","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-ZIPs-Ad1050",3
"15","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-ZIPs-Ad1051",3
"16","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-1P-Ad1050",1
"17","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-1P-Ad1051",1
"18","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-ZIPs-Ad1050",1
"19","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-ZIPs-Ad1051",1
"20","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-1P-Ad1049",4
"21","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-1P-Ad1050",4
"22","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-1P-Ad1051",4
"23","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-ZIPs-Ad1050",1
"24","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-ZIPs-Ad1051",1
"25","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-1P-Ad1049",4
"26","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-1P-Ad1050",4
"27","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-1P-Ad1051",4
"28","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-ZIPs-Ad1050",2
"29","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-ZIPs-Ad1051",2
"30","web_view_url:https://iwillvote.com/?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-MOT-1P-Ad1049",2
"31","web_view_url:https://iwillvote.com/?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-MOT-1P-Ad1050",2
"32","web_view_url:https://iwillvote.com/?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-MOT-1P-Ad1051",2
"33","web_view_url:https://iwillvote.com/?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-MOT-ZIPs-Ad1050",2
"34","web_view_url:https://iwillvote.com/?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-MOT-ZIPs-Ad1051",2
"35","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1009",2
"36","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1011",2
"37","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1012",2
"38","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1014",2
