"","creative_properties","n","adid","creative_url","currency_code","spend","impressions","start_date","end_date","organization_name","billing_address","candidate_ballot_information","paying_advertiser_name","committee_name","committee_identification_number","disclosure_name_of_committee","advertising_jurisdiction","gender","age_bracket","country_code","regions_included","regions_excluded","electoral_districts_included","electoral_districts_excluded","radius_targeting_included","radius_targeting_excluded","metros_included","metros_excluded","postal_codes_included","postal_codes_excluded","location_categories_included","location_categories_excluded","interests","os_type","segments","language","advanced_demographics","targeting_connection_type","targeting_carrier_isp"
"1","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-1P-Ad1049",2,"bcea8c19c2b83aa7fa38d62da6d24995410daaf417ab68d1ff04921a1b42f60a","https://www.snap.com/political-ads/asset/cd57c1908b1c9263dda879339b163b0b250248b0a4eb7b6571633237e4f0109c?mediaType=mp4","USD",332,38067,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-1P-Ad1050",2,"412d735aaf186a3b8b0585fc9f96702fe71b82f594631a650eb457438dd608b7","https://www.snap.com/political-ads/asset/409fdf09432e9a33f088c5bc89de1f47663f3bb7bb32576313d454eb6e04fc90?mediaType=mp4","USD",335,38043,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-1P-Ad1051",2,"de3e4059441c1f17d49ba587cd32fd9616b403d11b2973f2cd9910733bc4d05e","https://www.snap.com/political-ads/asset/1bb0fe381eb4b04111ae4da129b44f58833405ed08377958051a25083fb10e24?mediaType=mp4","USD",360,40621,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-ZIPs-Ad1050",2,"60fcd4dd3618b0f63c33ef376c6f3d60cbd9aa44de3c1e589a3eea4fcbadc1fd","https://www.snap.com/political-ads/asset/ec8737fd39557317e130fbf6e32a0c4e54b0eddbc59da503c4db8ab0bf030f92?mediaType=mp4","USD",392,41703,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"86507,85542,86545,86031,85121,86510,85550,85530,86030,85941,86035,86502,86054,85639,85147,86503,86053,86043,86540,86538,85040,86535,85911,86515,86512,86520,85926,86039,86020,86045,86511,86505,86042,86547,86033,85634,86556,86044,86034,86506,86508,86435,86514,86504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","web_view_url:https://iwillvote.com/?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-MOT-ZIPs-Ad1051",2,"57254e5b716597b2fca98d24178402f260b9d4e18f4958d5a17dbb54a643f56a","https://www.snap.com/political-ads/asset/16d6098b87f044dc354240e4d77f534986006d9d3141233b04477e25f8c47f5e?mediaType=mp4","USD",519,55404,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"86507,85542,86545,86031,85121,86510,85550,85530,86030,85941,86035,86502,86054,85639,85147,86503,86053,86043,86540,86538,85040,86535,85911,86515,86512,86520,85926,86039,86020,86045,86511,86505,86042,86547,86033,85634,86556,86044,86034,86506,86508,86435,86514,86504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-1P-Ad1049",4,"dc767d9e54fa748f1c4dc773d08b6d2030bc2423dd79cc97b2363f56f1cba242","https://www.snap.com/political-ads/asset/42e2be1eda1ce1eea49e3c68dc05c92ad53a9cfc7dfb542eb5fad570cde61208?mediaType=mp4","USD",301,34636,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-1P-Ad1050",4,"d2d9da61764a27ec8ff168b61b6610efa3141d68cfa5b64a73b3ef026c46e9c3","https://www.snap.com/political-ads/asset/3da2b8bba5472e18d1ccadf4817b9b8981333163976eb79ccba16c6f810e59e2?mediaType=mp4","USD",36,4992,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-1P-Ad1051",4,"2f4f0f14ec49c2fe145461999fb19cb1a1013111663a236c66851c223d7c6236","https://www.snap.com/political-ads/asset/1c4725f0f326a5b5dacfe38e964f4b7c2d6aa2e6e88e2a5439cb05032ebce4bc?mediaType=mp4","USD",239,27712,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-ZIPs-Ad1050",2,"948b4e128f1eeb25d3ba34b867e6ee5b45027e19122a647dbe5c1d9d0502a4ff","https://www.snap.com/political-ads/asset/cc3bc233c92ab7d107b7907d6f8ee5badb0428899319a381531e7d7b54968d1a?mediaType=mp4","USD",343,47389,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"30035,30058,30288,30349,30331,30273,30296,30294,31206,30250,30304,30274,30038,30088,30291,30354,30315,30337,30213,30336,30311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","web_view_url:https://iwillvote.com/?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-MOT-ZIPs-Ad1051",2,"0099768a4725af93dbc7833560634f3fcad58bd870f745a78fee6b40a7eb1273","https://www.snap.com/political-ads/asset/abc18c761b9806cdd6e154777a6a1c3a67f125b9888761efb90f2b06e5138717?mediaType=mp4","USD",494,54124,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"30325,30350,30345,30260,30329,30297,30341,31201,30328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-1P-Ad1049",4,"2f29ea6f512334472a7237264699a67def23ad11f567030f9c6f755d31bbff99","https://www.snap.com/political-ads/asset/7948cbb77ac8e14d61e12094709710fbd922246d70db07bf275316c3a67edb40?mediaType=mp4","USD",148,18195,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-1P-Ad1050",4,"e855868851322ab7f9f8821588a0ae2ff9b3b3ba293ac4541b33515ea252de34","https://www.snap.com/political-ads/asset/3804366007911076366b9e7be52ec9867e31a4a4bcf4de17205520fee2d82dd2?mediaType=mp4","USD",154,18775,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-1P-Ad1051",4,"7274214af83d0bf6753a9a3c92314dbbceffe48b687a85fdf57c3e2b089fa505","https://www.snap.com/political-ads/asset/d38767ccc56a393dd0583b0db3e198eebc3b9d35c1031ad2db87546a2a651905?mediaType=mp4","USD",167,20389,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-ZIPs-Ad1050",3,"3ace68f19f49521a76cc2a72efe6a340f796ca75520de34f405fe4f54e535f33","https://www.snap.com/political-ads/asset/b7e4cda4bb8b4826d0b35a0cace90d35e91369ff35547468cea33d40e0a5fe9c?mediaType=mp4","USD",266,26777,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"48224,48219,48221,48206,48204,48217,48208,48505,48238,48033,48223,48141,48034,48205,48207,48235,48202,48234,48214,48203,48215,48228,48213,48227,48075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","web_view_url:https://iwillvote.com/?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-MOT-ZIPs-Ad1051",3,"bcb4a5197e6a36c3f34eac124a6992a11f581bb3a9d0e6ee16c15c88b3048a2f","https://www.snap.com/political-ads/asset/aef522d43fd5cd2b010ccef4f5606488ca00bee79652cb1915fb432dabd1f156?mediaType=mp4","USD",1515,184153,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"48021,48225,48340,48108,48201,48220,48933,48230,48105,48342,48341,48334,48607,48915,48333,48210,48103,48504,48825,48211,48226,48237,48233,48216,48236,48218,48109,48198,48601,48104,48076,48240,49007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-1P-Ad1050",1,"7116f80981bf0e0f05b88d1cf941f49433f33f174d6d0247fb73967c04d64e81","https://www.snap.com/political-ads/asset/039c887c2c0dc157196b1d8e8e3fd4c3d8bfbe0fdf15b5e1724e428c47e22632?mediaType=mp4","USD",206,26396,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-1P-Ad1051",1,"5291d25a118c0518370d127ce984d0e9f94a50e0a0246771fc2e1839546713dd","https://www.snap.com/political-ads/asset/5e37c5edaa53253b6cbe8ac1bedccc129e683c631629e79ebe7aca1ce6ffb645?mediaType=mp4","USD",227,29070,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-ZIPs-Ad1050",1,"12e5b413a851bd4773a8cae621f6c6470254ac4377363dd08efed91c6ada9990","https://www.snap.com/political-ads/asset/6f5d7ddd1727736dbdc31b1dbffd171cceaea6806f6c6203245c24de4ed99ab7?mediaType=mp4","USD",222,42757,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"68112,68178,68110,68108,68102,68157,68111,68104,68105,68107,68182,68147,68131,68132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","web_view_url:https://iwillvote.com/?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-MOT-ZIPs-Ad1051",1,"58e97963bd330485a4a9f5f8ae49c7e4f237b5ea58e3430b07edc0ac1f0a21ee","https://www.snap.com/political-ads/asset/6a2bf6b3df56be748057b37cb0af55ff308355e81ea70024589f575d61627168?mediaType=mp4","USD",211,40489,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"68112,68178,68110,68108,68102,68157,68111,68104,68105,68107,68182,68147,68131,68132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-1P-Ad1049",4,"014ea0bf7bb9452dcaee81a0b0a561444cd75c03bea7c17e22d5023b309aa9a7","https://www.snap.com/political-ads/asset/bbfe8219348ac2526d03b4dddd2088edc10138c20656215d6a8f2f546886eb8c?mediaType=mp4","USD",33,2781,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-1P-Ad1050",4,"ba1cf6bb8b0370301924d05b8e97808ebab7e45393ae68ad824ad0c481c2d138","https://www.snap.com/political-ads/asset/3ce60c7bd6dd0572572bc49d4f552e0841cc6e7c19d08797429387968ab965ae?mediaType=mp4","USD",41,3333,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-1P-Ad1051",4,"8e90effcd1d089768fa49787864b0ef45bc6b81e571962a0c02a020759ac7c92","https://www.snap.com/political-ads/asset/065556ab307a13457c938f39ce4900be7e1d36cf99ccc8713f546f1145c6bc1c?mediaType=mp4","USD",237,19019,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-ZIPs-Ad1050",1,"993f47120b468f51336d1c37ff9f735c399709748f4885e7c226ab72fbcd26ce","https://www.snap.com/political-ads/asset/00e1b6f80642f30381240fa37c3af8fd2fe0850ee0939bdcb672d2fd2e306d20?mediaType=mp4","USD",345,35725,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"89106,89424,89115,89081,89032,89142,89101,89030,89110,89104,89156,89086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","web_view_url:https://iwillvote.com/?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-MOT-ZIPs-Ad1051",1,"cd6a9b3a509581ca1e2102c6e4415eb24065a362020fa9c77f385368e3b4e085","https://www.snap.com/political-ads/asset/2bd4f83e3aa09832b84756799be6d1048c96fcbd8855ee752af4512b37a77526?mediaType=mp4","USD",396,41073,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"89106,89424,89115,89081,89032,89142,89101,89030,89110,89104,89156,89086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-1P-Ad1049",4,"f41a626b54c8695fc312771606e37268ebf222750d50d7a660f85d47674af4ec","https://www.snap.com/political-ads/asset/07157f49045c3c35ef91826707544d8eed31cd8cfbe8e80e2de7b5d854d89ded?mediaType=mp4","USD",119,12241,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-1P-Ad1050",4,"13c3222e48049aea63cddc6d28273844093cbfb3070902fe4d924ede56560631","https://www.snap.com/political-ads/asset/8866c26c493391dc5db046d12e3f8c9aa9e117cea43da5a8bff31468becb244f?mediaType=mp4","USD",1616,160180,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-1P-Ad1051",4,"3ac8d7350abe38c29732b04f662f4f831145d44db4cd69225ce426e2943eb4a2","https://www.snap.com/political-ads/asset/48bc187e62b2f0e624e5a36ab0589178dccb8327f8b6060028ee1dbeb636fbc9?mediaType=mp4","USD",81,7509,2024-10-13,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-ZIPs-Ad1050",2,"64c626aa749ab44032f817018f1cbd0c5ad01dd9abfd1525047eb4378846e3d7","https://www.snap.com/political-ads/asset/9ca9582e117f4b0d2dd7797303fc3ad5f9e51b70d7dcbd7b3c95475b70667098?mediaType=mp4","USD",2191,245384,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"19118,17103,19122,19111,19119,15217,15260,19146,15203,19124,19140,15104,19012,19125,15261,19041,15110,19072,19133,15207,15289,15210,19145,19066,19127,19149,15222,19134,19123,19027,15204,19135,15214,19096,15233,19147,19106,19095,19120,19152,19129,15218,15206,15224,19148,19130,19128,19082,15219,19107,17104,19004,15208,19050,15112,15213,19104,15212,15232,15201,19136,15221,19102,15148,15235,19137,19103,19032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","web_view_url:https://iwillvote.com/?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-MOT-ZIPs-Ad1051",2,"344a3a0e3d01de9269575e6bccc6001b6f4ababf4cb75f1476a282c4545ac69f","https://www.snap.com/political-ads/asset/04cfea4d833280f7bcaf2344a94107747f4953053bfa98a1e3f392aae12b1001?mediaType=mp4","USD",2544,274458,2024-10-11,2024-11-06,"Harris for President","US","Kamala Harris","Harris for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"19118,17103,19122,19111,19119,15217,15260,19146,15203,19124,19140,15104,19012,19125,15261,19041,15110,19072,19133,15207,15289,15210,19145,19066,19127,19149,15222,19134,19123,19027,15204,19135,15214,19096,15233,19147,19106,19095,19120,19152,19129,15218,15206,15224,19148,19130,19128,19082,15219,19107,17104,19004,15208,19050,15112,15213,19104,15212,15232,15201,19136,15221,19102,15148,15235,19137,19103,19032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
